artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
John Singer Sargent,1918,genre painting,5000.0,1868.0,5424727.0,wikiart,Realism,Gassed,train_and_test,True,14128.jpg
Vincent van Gogh,1887,cityscape,2630.0,3461.0,9630782.0,wikiart,Post-Impressionism,Entrance to the Moulin de la Galette,train_and_test,True,75309.jpg
John Singer Sargent,1906,portrait,2400.0,3751.0,1163783.0,wikiart,Realism,"Frederick Sleigh Roberts, 1st Earl Roberts",train_and_test,True,85520.jpg
Vincent van Gogh,1886,self-portrait,2725.0,3301.0,9226662.0,wikiart,Post-Impressionism,Self-Portrait with Dark Felt Hat at the Easel,train_and_test,True,21520.jpg
Vincent van Gogh,1890,portrait,2479.0,3237.0,2183192.0,wikiart,Post-Impressionism,Young Peasant Girl in a Straw Hat sitting in front of a wheatfield,train_and_test,True,61388.jpg
Vincent van Gogh,1890,genre painting,2628.0,2970.0,6355177.0,wikiart,Post-Impressionism,Landscape with Couple Walking and Crescent Moon,train_and_test,True,87903.jpg
Vincent van Gogh,1889,sketch and study,3085.0,2527.0,6807323.0,wikiart,Post-Impressionism,The Courtyard of the Hospital at Arles,train_and_test,False,26488.jpg
Vincent van Gogh,1885,portrait,2448.0,3168.0,6362891.0,wikiart,Realism,Head of an Old Woman with White Cap The Midwife,train_and_test,True,60631.jpg
Vincent van Gogh,1887,landscape,3071.0,2489.0,2112277.0,wikiart,Post-Impressionism,On the Outskirts of Paris,train_and_test,True,25955.jpg
Vincent van Gogh,1890,flower painting,2739.0,2781.0,7336459.0,wikiart,Post-Impressionism,Japanese Vase with Roses and Anemones,train_and_test,True,53388.jpg
Vincent van Gogh,1888,cityscape,2430.0,3121.0,8185396.0,wikipedia,Post-Impressionism,Les Alyscamps,train_and_test,True,85049.jpg
Vincent van Gogh,1885,cityscape,2399.0,3140.0,6915108.0,wikiart,Realism,Backyards of Old Houses in Antwerp in the Snow,train_and_test,True,67895.jpg
Vincent van Gogh,1890,portrait,2739.0,2750.0,5404238.0,wikiart,Cloisonnism,Two Children,train_and_test,True,1426.jpg
Vincent van Gogh,1888,landscape,2870.0,2609.0,8288607.0,wikiart,Japonism,The Langlois Bridge at Arles with Women Washing,train_and_test,True,87809.jpg
Vincent van Gogh,1884,still life,3071.0,2394.0,1984313.0,wikiart,Realism,"Still Life with Four Stone Bottles, Flask and White Cup ",train_and_test,True,62470.jpg
Vincent van Gogh,1888,sketch and study,2987.0,2439.0,5714389.0,wikiart,Post-Impressionism,Field with Flowers,train_and_test,True,47623.jpg
Vincent van Gogh,1888,sketch and study,2309.0,3050.0,2043305.0,wikiart,Post-Impressionism,Portrait of the Postman Joseph Roulin,train_and_test,True,10639.jpg
Vincent van Gogh,1888,landscape,2300.0,3050.0,2255845.0,wikiart,Post-Impressionism,Wheat Field with Sheaves and Arles in the Background ,train_and_test,True,25444.jpg
John Singer Sargent,1884,portrait,1895.0,3680.0,1445234.0,wikiart,Realism,Madame X (also known as Madame Pierre Gautreau),train_and_test,True,11988.jpg
Vincent van Gogh,1890,flower painting,2169.0,3180.0,7132214.0,wikiart,Post-Impressionism,Still Life Vase with Rose-Mallows,train_and_test,True,31328.jpg
Vincent van Gogh,c.1885,sketch and study,2037.0,3354.0,5278566.0,wikiart,Realism,Head of a Young Man,train_and_test,True,10446.jpg
Vincent van Gogh,1889,landscape,2721.0,2499.0,6863350.0,wikiart,Post-Impressionism,Study of Pine Trees,train_and_test,False,7270.jpg
Vincent van Gogh,1888,portrait,2201.0,3079.0,2009873.0,wikiart,Post-Impressionism,Portrait of Eugene Boch,train_and_test,True,57934.jpg
Vincent van Gogh,1890,landscape,2130.0,3180.0,7462460.0,wikiart,Post-Impressionism,The Garden of Doctor Gachet at Auvers-sur-Oise,train_and_test,True,33956.jpg
Vincent van Gogh,1888,genre painting,2908.0,2297.0,6444167.0,wikiart,Post-Impressionism,Sower,train_and_test,True,87410.jpg
Vincent van Gogh,1888,landscape,2886.0,2285.0,7201227.0,wikiart,Post-Impressionism,"Harvest at La Crau, with Montmajour in the Background",train_and_test,True,5742.jpg
Vincent van Gogh,1888,landscape,2838.0,2287.0,6935883.0,wikiart,Post-Impressionism,Haystacks in Provence,train_and_test,True,63410.jpg
Vincent van Gogh,1887,still life,2727.0,2317.0,1908848.0,wikipedia,Post-Impressionism,Still Life with Basket of Apples (to Lucien Pissarro),train_and_test,True,5202.jpg
Vincent van Gogh,1887,landscape,2760.0,2280.0,6663663.0,wikiart,Post-Impressionism,Wheat Field with a Lark,train_and_test,True,70528.jpg
Vincent van Gogh,1887,still life,2716.0,2304.0,2005544.0,wikiart,Post-Impressionism,Still Life with Basket of Apples,train_and_test,True,25303.jpg
John Singer Sargent,1889,portrait,1763.0,3510.0,2047970.0,wikiart,Realism,Miss Ellen Terry as Lady Macbeth,train_and_test,True,100510.jpg
John Singer Sargent,c.1882,genre painting,2138.0,2890.0,2787479.0,wikiart,Realism,A Street in Venice ,train_and_test,True,74380.jpg
Vincent van Gogh,1887,cityscape,2725.0,2261.0,1841803.0,wikipedia,Post-Impressionism,Restaurant de la Sirene at Asnieres,train_and_test,True,21498.jpg
Vincent van Gogh,1888,landscape,2253.0,2725.0,1881049.0,wikiart,Post-Impressionism,Arles View from the Wheat Fields,train_and_test,True,14872.jpg
Vincent van Gogh,1890,genre painting,2735.0,2238.0,1980199.0,wikipedia,Post-Impressionism,The Drinkers (after Daumier),train_and_test,False,99669.jpg
Vincent van Gogh,1888,landscape,2242.0,2725.0,1826474.0,wikiart,Post-Impressionism,A Lane near Arles,train_and_test,True,73970.jpg
Vincent van Gogh,1887,flower painting,2245.0,2713.0,1938775.0,wikiart,Post-Impressionism,"Vase with Lilacs, Daisies and Anemones",train_and_test,True,41943.jpg
John Singer Sargent,1919,sketch and study,2129.0,2857.0,1006420.0,wikiart,Realism,Studies of Aphrodite for Aphrodite and Eros,train_and_test,True,55279.jpg
Vincent van Gogh,1885,portrait,2220.0,2730.0,5362355.0,wikiart,Realism,Portrait of Woman in Blue,train_and_test,True,101270.jpg
Vincent van Gogh,1885,sketch and study,2205.0,2741.0,1946173.0,wikipedia,Realism,Peasant Woman Digging,train_and_test,False,30933.jpg
Vincent van Gogh,1889,landscape,2736.0,2209.0,5911720.0,wikiart,Post-Impressionism,Entrance to a Quarry,train_and_test,True,102168.jpg
Vincent van Gogh,1890,portrait,2211.0,2727.0,1744478.0,wikiart,Post-Impressionism,Dr. Paul Gachet,train_and_test,True,26594.jpg
Vincent van Gogh,1885,portrait,2215.0,2720.0,1879264.0,wikiart,Post-Impressionism,Portrait of a Woman with a Red Ribbon,train_and_test,True,36628.jpg
Vincent van Gogh,1890,genre painting,1684.0,3573.0,1941303.0,wikiart,Post-Impressionism,Marguerite Gachet at the Piano,train_and_test,True,98413.jpg
Vincent van Gogh,1887,self-portrait,2201.0,2719.0,1932121.0,wikiart,Post-Impressionism,Self-Portrait,train_and_test,True,20881.jpg
Vincent van Gogh,1887,landscape,2203.0,2716.0,1986731.0,wikiart,Post-Impressionism,Trees and Undergrowth,train_and_test,True,5063.jpg
Vincent van Gogh,1888,still life,2730.0,2190.0,1348447.0,wikipedia,Post-Impressionism,A Pair of Leather Clogs,train_and_test,True,47589.jpg
Vincent van Gogh,1885,sketch and study,2155.0,2763.0,1836628.0,wikiart,Realism,Reaper,train_and_test,True,78696.jpg
Vincent van Gogh,1885,sketch and study,2197.0,2708.0,1786777.0,wikiart,Realism,Peasant Woman Lifting Potatoes ,train_and_test,True,35744.jpg
Vincent van Gogh,1888,landscape,2198.0,2704.0,1850409.0,wikiart,Post-Impressionism,Garden Behind a House,train_and_test,False,21934.jpg
Vincent van Gogh,1888,still life,2173.0,2728.0,1818256.0,wikiart,Post-Impressionism,Paul Gauguin s Armchair,train_and_test,False,29124.jpg
Vincent van Gogh,1885,genre painting,2129.0,2780.0,1697191.0,wikiart,Realism,Digger in a Potato Field: February,train_and_test,True,23522.jpg
Vincent van Gogh,1889,landscape,2738.0,2160.0,4753861.0,wikiart,Post-Impressionism,Mountains at Saint-Remy with Dark Cottage,train_and_test,False,34660.jpg
Vincent van Gogh,1887,landscape,2713.0,2174.0,1741310.0,wikiart,Post-Impressionism,Roadway with Underpass The Viaduct,train_and_test,True,61440.jpg
Vincent van Gogh,1886,still life,2721.0,2165.0,1849556.0,wikiart,Post-Impressionism,Plaster Statuette of a Horse,train_and_test,True,31928.jpg
John Singer Sargent,1880,genre painting,1955.0,3012.0,1582908.0,wikiart,Realism,Fumee d'Ambre Gris ,train_and_test,False,13.jpg
Vincent van Gogh,1890,landscape,2735.0,2150.0,1795146.0,wikiart,Post-Impressionism,Vineyards with a View of Auvers,train_and_test,True,40012.jpg
Vincent van Gogh,1888,portrait,2165.0,2703.0,1778374.0,wikiart,Post-Impressionism,Zouave,train_and_test,True,71371.jpg
Vincent van Gogh,1890,portrait,2154.0,2716.0,1838253.0,wikiart,Post-Impressionism,Old Man in Sorrow (On the Threshold of Eternity),train_and_test,True,71349.jpg
Vincent van Gogh,1889,landscape,2726.0,2145.0,1853121.0,wikiart,Post-Impressionism,Field of Spring Wheat at Sunrise,train_and_test,True,18464.jpg
Vincent van Gogh,1890,religious painting,2156.0,2705.0,1682962.0,wikiart,Post-Impressionism,"The Good Samaritan, after Delacroix",train_and_test,True,32044.jpg
John Singer Sargent,1877,portrait,2130.0,2716.0,2075013.0,wikiart,Realism,Miss Frances Sherborne Ridley Watts,train_and_test,True,9080.jpg
Vincent van Gogh,1887,still life,2720.0,2125.0,1672856.0,wikipedia,Post-Impressionism,Still Life with Lemons on a Plate,train_and_test,True,56913.jpg
Vincent van Gogh,1886,self-portrait,2100.0,2751.0,958159.0,wikiart,Realism,Self-Portrait,train_and_test,True,84517.jpg
Vincent van Gogh,1883,genre painting,2122.0,2722.0,1902205.0,wikiart,Realism,Soup Distribution in a Public Soup Kitchen,train_and_test,True,59409.jpg
Vincent van Gogh,1886,sketch and study,2129.0,2713.0,1872888.0,wikiart,Realism,Seated Man with a Beard,train_and_test,False,80230.jpg
Vincent van Gogh,1887,still life,2731.0,2111.0,1813339.0,wikiart,Post-Impressionism,Two Cut Sunflowers,train_and_test,True,39599.jpg
Vincent van Gogh,c.1886,nude painting (nu),2085.0,2764.0,1694866.0,wikiart,Realism,Seated Male Nude Seen from the Back,train_and_test,True,27683.jpg
Vincent van Gogh,1888,portrait,2124.0,2712.0,1837968.0,wikipedia,Post-Impressionism,Portrait of the Artist's Mother,train_and_test,False,15001.jpg
Vincent van Gogh,1885,sketch and study,2125.0,2710.0,1741641.0,wikiart,Realism,Peasant Lifting Beet,train_and_test,True,96538.jpg
Vincent van Gogh,1888,portrait,2110.0,2725.0,1821311.0,wikipedia,Post-Impressionism,Portrait of Patience Escalier,train_and_test,True,57167.jpg
Vincent van Gogh,1885,genre painting,2720.0,2111.0,4954774.0,wikiart,Realism,Peasant and Peasant Woman Planting Potatoes,train_and_test,False,44270.jpg
Vincent van Gogh,1890,genre painting,2748.0,2089.0,2413584.0,wikiart,Post-Impressionism,Two Peasant Women Digging in Field with Snow,train_and_test,True,85906.jpg
Vincent van Gogh,1882,portrait,1951.0,2935.0,6066116.0,wikiart,Realism,The Bookseller Blok,train_and_test,True,8462.jpg
Vincent van Gogh,1889,portrait,2102.0,2720.0,1704310.0,wikiart,Post-Impressionism,Madame Roulin Rocking the Cradle (A lullaby),train_and_test,True,92653.jpg
Vincent van Gogh,1889,landscape,2739.0,2080.0,1728347.0,wikiart,Post-Impressionism,Enclosed Field behind Saint-Paul Hospital,train_and_test,True,52087.jpg
Vincent van Gogh,1884,cityscape,2081.0,2730.0,1873771.0,wikiart,Realism,Congregation Leaving the Reformed Church in Nuenen,train_and_test,True,14545.jpg
Vincent van Gogh,1889,still life,2739.0,2070.0,5547867.0,wikiart,Post-Impressionism,"Still Life with Drawing Board, Pipe, Onions and Sealing-Wax",train_and_test,True,76534.jpg
Vincent van Gogh,1886,cityscape,2702.0,2097.0,4971251.0,wikiart,Post-Impressionism,"Terrace of a Cafe on Montmartre ""La Guinguette""",train_and_test,False,38645.jpg
Vincent van Gogh,1886,self-portrait,2086.0,2709.0,1761569.0,wikiart,Post-Impressionism,Self-Portrait with Dark Felt Hat,train_and_test,True,72714.jpg
Vincent van Gogh,1882,genre painting,2321.0,2422.0,1804540.0,wikiart,Realism,Man Stooping with Stick or Spade,train_and_test,True,85607.jpg
Vincent van Gogh,1890,religious painting,2738.0,2052.0,1686303.0,wikiart,Post-Impressionism,The Raising of Lazarus after Rembrandt,train_and_test,True,28542.jpg
John Singer Sargent,1893,portrait,2128.0,2640.0,1548051.0,wikipedia,Realism,Elizabeth Winthrop Chanler,train_and_test,True,57482.jpg
Vincent van Gogh,1886,sketch and study,2050.0,2740.0,1815768.0,wikiart,Realism,Seated Man with a Moustache and Cap,train_and_test,False,1755.jpg
Vincent van Gogh,1885,sketch and study,2095.0,2679.0,1701788.0,wikiart,Realism,Peasant Woman Binding Sheaves,train_and_test,True,83400.jpg
Vincent van Gogh,1889,sketch and study,2726.0,2055.0,1699780.0,wikiart,Post-Impressionism,The Starry Night,train_and_test,True,75795.jpg
Vincent van Gogh,1887,portrait,2076.0,2698.0,1693588.0,wikipedia,Post-Impressionism,Woman Sitting by a Cradle,train_and_test,False,60537.jpg
Vincent van Gogh,1886,flower painting,1822.0,3071.0,1791537.0,wikiart,Realism,Vase with Carnations and Other Flowers,train_and_test,True,22388.jpg
Vincent van Gogh,1883,genre painting,2727.0,2036.0,1632771.0,wikiart,Realism,Two Women in the Moor,train_and_test,True,100522.jpg
Vincent van Gogh,1889,genre painting,2031.0,2730.0,1439519.0,wikipedia,Post-Impressionism,Peasant Woman Binding Sheaves after Millet,train_and_test,True,36995.jpg
Vincent van Gogh,1889,portrait,2033.0,2715.0,1784991.0,wikiart,Post-Impressionism,"Portrait of Trabuc, an Attendant at Saint-Paul Hospital",train_and_test,True,57154.jpg
Vincent van Gogh,1889,landscape,2064.0,2650.0,1572884.0,wikiart,Post-Impressionism,Two Cypresses,train_and_test,True,76137.jpg
Vincent van Gogh,1883,landscape,2722.0,2009.0,1738065.0,wikiart,Realism,Bulb Fields,train_and_test,True,89721.jpg
John Singer Sargent,c.1880,portrait,2129.0,2555.0,1905308.0,wikiart,Realism,Jean Joseph Marie Carri,train_and_test,True,65670.jpg
Vincent van Gogh,1884,landscape,1945.0,2769.0,1756247.0,wikiart,Realism,Avenue of Poplars,train_and_test,True,54245.jpg
Martiros Saryan,1954,still life,2852.0,1887.0,2989868.0,wikiart,Realism,Gifts of Autumn,train_and_test,True,71295.jpg
Vincent van Gogh,1885,vanitas,1986.0,2709.0,1675444.0,wikiart,Realism,Skull with Burning Cigarette,train_and_test,True,45697.jpg
Vincent van Gogh,1890,cityscape,2705.0,1988.0,1669748.0,wikiart,Post-Impressionism,Village Street and Steps in Auvers with Figures,train_and_test,True,76842.jpg
Vincent van Gogh,1886,still life,2060.0,2609.0,5588476.0,wikiart,Post-Impressionism,Plaster Statuette of a Female Torso,train_and_test,False,74892.jpg
Vincent van Gogh,1885,sketch and study,1950.0,2755.0,1681969.0,wikiart,Realism,Peasant Woman Digging,train_and_test,True,87066.jpg
Vincent van Gogh,1882,genre painting,1836.0,2916.0,5314692.0,wikiart,Realism,Worn Out,train_and_test,True,96487.jpg
Vincent van Gogh,1888,landscape,2518.0,2123.0,5415015.0,wikipedia,Post-Impressionism,View of Arles with Irises in the Foreground,train_and_test,True,64547.jpg
Vincent van Gogh,1886,genre painting,1959.0,2709.0,1650238.0,wikiart,Post-Impressionism,Sloping Path in Montmartre,train_and_test,True,74570.jpg
Vincent van Gogh,1888,landscape,2552.0,2073.0,4416705.0,wikiart,Post-Impressionism,Path Through a Field with Willows,train_and_test,True,76519.jpg
Vincent van Gogh,1887,landscape,2543.0,2079.0,4574146.0,wikiart,Post-Impressionism,Trees in a Field on a Sunny Day,train_and_test,True,73872.jpg
Vincent van Gogh,1883,genre painting,1862.0,2831.0,1607089.0,wikiart,Realism,Girl Kneeling by a Cradle,train_and_test,True,41419.jpg
Vincent van Gogh,1887,cityscape,2556.0,2062.0,5554593.0,wikiart,Post-Impressionism,The Seine with the Pont de la Grande Jette,train_and_test,True,33835.jpg
John Singer Sargent,1888,portrait,1760.0,2989.0,1820511.0,wikiart,Realism,Mrs Adrian Iselin,train_and_test,True,84710.jpg
Vincent van Gogh,1883,genre painting,1882.0,2784.0,1678388.0,wikiart,Realism,Man Breaking Up the Soil,train_and_test,True,50260.jpg
Vincent van Gogh,1889,self-portrait,2147.0,2428.0,723874.0,wikiart,Post-Impressionism,Self-portrait with bandaged ear,train_and_test,False,4605.jpg
Vincent van Gogh,1882,landscape,2722.0,1907.0,1637059.0,wikipedia,Realism,View of the Sea at Scheveningen,train_and_test,False,68304.jpg
Vincent van Gogh,1885,landscape,2724.0,1905.0,1537930.0,wikipedia,Realism,Cottage and Woman with Goat,train_and_test,True,47397.jpg
John Singer Sargent,1890,portrait,1609.0,2985.0,1800534.0,wikiart,Realism,Mrs. Edward L. Davis and Her Son Livingston,train_and_test,True,67497.jpg
John Singer Sargent,1902,portrait,1614.0,2971.0,1417353.0,wikiart,Realism,Lord Ribblesdale,train_and_test,True,70726.jpg
John Singer Sargent,1921,mythological painting,2586.0,1791.0,759472.0,wikiart,Neoclassicism,Apollo and the Muses,train_and_test,True,86449.jpg
John Singer Sargent,1893,portrait,1551.0,2847.0,1514406.0,wikipedia,Realism,Mrs. Hugh Hammersley,train_and_test,True,7892.jpg
John Singer Sargent,1887,genre painting,2282.0,1860.0,1338852.0,wikiart,Impressionism,The Birthday Party,train_and_test,True,88207.jpg
John Singer Sargent,1897,portrait,1399.0,3009.0,1100049.0,wikiart,Realism,Mr. and Mrs. Isaac Newton Phelps Stokes,train_and_test,True,3363.jpg
John Singer Sargent,1878,genre painting,2293.0,1725.0,1596993.0,wikiart,Realism,View of Capri,train_and_test,True,70156.jpg
John Singer Sargent,1883,portrait,1522.0,2398.0,1286289.0,wikipedia,Realism,Mrs. Henry White,train_and_test,False,4607.jpg
Marc Chagall,1915,genre painting,2032.0,1715.0,487437.0,wikiart,Naïve Art (Primitivism),The Birthday,train_and_test,True,96121.jpg
Marc Chagall,1968,genre painting,1834.0,1805.0,564547.0,wikiart,Surrealism,The Big Circus,train_and_test,False,58454.jpg
Marc Chagall,1968,genre painting,1827.0,1791.0,613445.0,wikiart,Surrealism,The Players,train_and_test,True,102647.jpg
Paul Gauguin,1903,genre painting,1916.0,1688.0,363138.0,wikiart,Post-Impressionism,The Invocation,train_and_test,False,35323.jpg
John Singer Sargent,c.1882,portrait,1608.0,2000.0,427818.0,wikiart,Realism,A Spanish Woman,train_and_test,True,59193.jpg
John Singer Sargent,1925,mythological painting,2663.0,1098.0,491425.0,wikiart,Neoclassicism,Apollo in His Chariot with the Hours,train_and_test,True,82519.jpg
Marc Chagall,1913,genre painting,1517.0,1925.0,375534.0,wikiart,Cubism,The Fiddler ,train_and_test,False,99541.jpg
Marc Chagall,1912,still life,1827.0,1585.0,440135.0,wikiart,Cubism,Still life,train_and_test,False,9126.jpg
Marc Chagall,1910,genre painting,1531.0,1885.0,517397.0,wikiart,Naïve Art (Primitivism),The Model,train_and_test,True,72133.jpg
Marc Chagall,1916,genre painting,1851.0,1551.0,342211.0,wikiart,Cubism,The Feast of the Tabernacles,train_and_test,True,29218.jpg
Marc Chagall,1911,portrait,1502.0,1905.0,523370.0,wikiart,Naïve Art (Primitivism),Bride with a Fan,train_and_test,True,39076.jpg
Marc Chagall,1912,genre painting,1494.0,1910.0,378827.0,wikiart,Expressionism,The Spoonful of Milk,train_and_test,True,54863.jpg
Marc Chagall,1917,genre painting,1675.0,1702.0,408287.0,wikiart,Expressionism,Peasant Life (The Stable Night Man with Whip),train_and_test,False,102136.jpg
Marc Chagall,1975,genre painting,1520.0,1867.0,423510.0,wikiart,Naïve Art (Primitivism),The large gray circus,train_and_test,False,70723.jpg
Marc Chagall,1926,landscape,1494.0,1896.0,416205.0,wikiart,Naïve Art (Primitivism),Peonies and lilacs,train_and_test,True,81851.jpg
Marc Chagall,1914,genre painting,1480.0,1913.0,273629.0,wikiart,Surrealism,Feast Day (Rabbi with Lemon),train_and_test,True,50216.jpg
Marc Chagall,1914,religious painting,1479.0,1910.0,273409.0,wikiart,Cubism,The Praying Jew (Rabbi of Vitebsk),train_and_test,False,31495.jpg
Marc Chagall,1917,cityscape,1468.0,1905.0,388986.0,wikiart,Cubism,Cemetery Gates,train_and_test,True,26446.jpg
Marc Chagall,c.1909,self-portrait,1511.0,1850.0,350014.0,wikiart,Expressionism,Self Portrait with Brushes ,train_and_test,False,61526.jpg
Marc Chagall,1910,portrait,1462.0,1905.0,412506.0,wikiart,Expressionism,Woman with a Bouquet,train_and_test,True,99456.jpg
Marc Chagall,1980,symbolic painting,1700.0,1636.0,389111.0,wikiart,Surrealism,The Grand Parade,train_and_test,True,89961.jpg
Marc Chagall,1947,symbolic painting,1830.0,1517.0,379676.0,wikiart,Surrealism,The Falling Angel,train_and_test,True,43663.jpg
John Singer Sargent,1891,nude painting (nu),884.0,3139.0,629003.0,wikiart,Realism,Nude Egyptian Girl,train_and_test,False,86117.jpg
Marc Chagall,1925,genre painting,1534.0,1807.0,262827.0,wikiart,Cubism,The Watering Trough,train_and_test,True,24878.jpg
Marc Chagall,1929,symbolic painting,1457.0,1902.0,463551.0,wikiart,Surrealism,The Rooster,train_and_test,False,10843.jpg
Marc Chagall,1953,genre painting,1442.0,1916.0,371750.0,wikiart,Surrealism,Night,train_and_test,True,43952.jpg
Paul Gauguin,1893,portrait,2048.0,1348.0,293452.0,wikiart,Cloisonnism,Alone,train_and_test,False,73683.jpg
Marc Chagall,1911,symbolic painting,1445.0,1910.0,367285.0,wikiart,Cubism,I and the Village,train_and_test,True,93951.jpg
Marc Chagall,1983,genre painting,1454.0,1896.0,351720.0,wikiart,Surrealism,Couple on a Red Background,train_and_test,True,7415.jpg
Marc Chagall,1927,genre painting,1525.0,1802.0,375877.0,wikiart,Cubism,Lovers with Flowers,train_and_test,True,102662.jpg
Marc Chagall,1925,genre painting,1437.0,1905.0,437381.0,wikiart,Naïve Art (Primitivism),Lovers under lilies,train_and_test,True,10373.jpg
Marc Chagall,1914,self-portrait,1531.0,1782.0,317584.0,wikiart,Naïve Art (Primitivism),Self Portrait,train_and_test,True,6703.jpg
Marc Chagall,1975,genre painting,1431.0,1905.0,446652.0,wikiart,Naïve Art (Primitivism),Rest,train_and_test,True,44520.jpg
Marc Chagall,1908,nude painting (nu),1425.0,1910.0,405223.0,wikiart,Expressionism,Red Nude Sitting Up,train_and_test,True,95345.jpg
Marc Chagall,1913,religious painting,1417.0,1910.0,355179.0,wikiart,Cubism,Jew at Prayer,train_and_test,False,22335.jpg
Marc Chagall,1971,symbolic painting,1411.0,1910.0,439745.0,wikiart,Naïve Art (Primitivism),In Front of the Picture,train_and_test,True,30889.jpg
Marc Chagall,1938,religious painting,1522.0,1770.0,431732.0,wikiart,Naïve Art (Primitivism),White Crucifixion,train_and_test,False,75069.jpg
Marc Chagall,1945,symbolic painting,1422.0,1893.0,460566.0,wikiart,Surrealism,The soul of the city,train_and_test,False,10521.jpg
